team,team_standardized
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Portland Trail Blazers,Portland Trail Blazers
Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
Houston Rockets,Houston Rockets
Indiana Pacers,Indiana Pacers
Detroit Pistons,Detroit Pistons
Utah Jazz,Utah Jazz
San Antonio Spurs,San Antonio Spurs
Boston Celtics,Boston Celtics
Washington Wizards,Washington Wizards
Dallas Mavericks,Dallas Mavericks
Sacramento Kings,Sacramento Kings
Cleveland Cavaliers,Cleveland Cavaliers
Seattle SuperSonics,Seattle SuperSonics
Atlanta Hawks,Atlanta Hawks
Denver Nuggets,Denver Nuggets
Minnesota Timberwolves,Minnesota Timberwolves
Orlando Magic,Orlando Magic
Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Los Angeles Clippers
New Jersey Nets,New Jersey Nets
Golden State Warriors,Golden State Warriors
Memphis Grizzlies,Memphis Grizzlies
Milwaukee Bucks,Milwaukee Bucks
Charlotte Hornets,Charlotte Hornets
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Portland Trail Blazers,Portland Trail Blazers
Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
Houston Rockets,Houston Rockets
Indiana Pacers,Indiana Pacers
Detroit Pistons,Detroit Pistons
Utah Jazz,Utah Jazz
San Antonio Spurs,San Antonio Spurs
Boston Celtics,Boston Celtics
Washington Wizards,Washington Wizards
Dallas Mavericks,Dallas Mavericks
Sacramento Kings,Sacramento Kings
Cleveland Cavaliers,Cleveland Cavaliers
Seattle SuperSonics,Seattle SuperSonics
Atlanta Hawks,Atlanta Hawks
Denver Nuggets,Denver Nuggets
Minnesota Timberwolves,Minnesota Timberwolves
Orlando Magic,Orlando Magic
Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Los Angeles Clippers
New Jersey Nets,New Jersey Nets
Golden State Warriors,Golden State Warriors
Memphis Grizzlies,Memphis Grizzlies
Milwaukee Bucks,Milwaukee Bucks
Charlotte Hornets,Charlotte Hornets
Los Angeles Lakers,Los Angeles Lakers
New York Knicks,New York Knicks
Chicago Bulls,Chicago Bulls
Dallas Mavericks,Dallas Mavericks
Philadelphia 76ers,Philadelphia 76ers
Boston Celtics,Boston Celtics
Detroit Pistons,Detroit Pistons
Phoenix Suns,Phoenix Suns
San Antonio Spurs,San Antonio Spurs
Indiana Pacers,Indiana Pacers
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
Toronto Raptors,Toronto Raptors
New Jersey Nets,New Jersey Nets
Utah Jazz,Utah Jazz
Miami Heat,Miami Heat
Minnesota Timberwolves,Minnesota Timberwolves
Sacramento Kings,Sacramento Kings
Denver Nuggets,Denver Nuggets
New Orleans Hornets,New Orleans Hornets
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Orlando Magic,Orlando Magic
Golden State Warriors,Golden State Warriors
Seattle SuperSonics,Seattle SuperSonics
Milwaukee Bucks,Milwaukee Bucks
Memphis Grizzlies,Memphis Grizzlies
Portland Trail Blazers,Portland Trail Blazers
Charlotte Bobcats,Charlotte Bobcats
Los Angeles Lakers,Los Angeles Lakers
New York Knicks,New York Knicks
Chicago Bulls,Chicago Bulls
Dallas Mavericks,Dallas Mavericks
Philadelphia 76ers,Philadelphia 76ers
Boston Celtics,Boston Celtics
Detroit Pistons,Detroit Pistons
San Antonio Spurs,San Antonio Spurs
Phoenix Suns,Phoenix Suns
Indiana Pacers,Indiana Pacers
Houston Rockets,Houston Rockets
Sacramento Kings,Sacramento Kings
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
Toronto Raptors,Toronto Raptors
New Jersey Nets,New Jersey Nets
Utah Jazz,Utah Jazz
Miami Heat,Miami Heat
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
Denver Nuggets,Denver Nuggets
New Orleans Hornets,New Orleans Hornets
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Orlando Magic,Orlando Magic
Seattle SuperSonics,Seattle SuperSonics
Golden State Warriors,Golden State Warriors
Milwaukee Bucks,Milwaukee Bucks
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Houston Rockets,Houston Rockets
Chicago Bulls,Chicago Bulls
Dallas Mavericks,Dallas Mavericks
Detroit Pistons,Detroit Pistons
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
Cleveland Cavaliers,Cleveland Cavaliers
Boston Celtics,Boston Celtics
Philadelphia 76ers,Philadelphia 76ers
San Antonio Spurs,San Antonio Spurs
Sacramento Kings,Sacramento Kings
Indiana Pacers,Indiana Pacers
Washington Wizards,Washington Wizards
Minnesota Timberwolves,Minnesota Timberwolves
New Jersey Nets,New Jersey Nets
Utah Jazz,Utah Jazz
Toronto Raptors,Toronto Raptors
Atlanta Hawks,Atlanta Hawks
Los Angeles Clippers,Los Angeles Clippers
Orlando Magic,Orlando Magic
Golden State Warriors,Golden State Warriors
Seattle SuperSonics,Seattle SuperSonics
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
Charlotte Bobcats,Charlotte Bobcats
Memphis Grizzlies,Memphis Grizzlies
New Orleans Hornets,New Orleans Hornets
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Detroit Pistons,Detroit Pistons
Houston Rockets,Houston Rockets
Dallas Mavericks,Dallas Mavericks
Cleveland Cavaliers,Cleveland Cavaliers
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
San Antonio Spurs,San Antonio Spurs
Boston Celtics,Boston Celtics
Sacramento Kings,Sacramento Kings
Philadelphia 76ers,Philadelphia 76ers
Toronto Raptors,Toronto Raptors
Washington Wizards,Washington Wizards
Utah Jazz,Utah Jazz
New Jersey Nets,New Jersey Nets
Indiana Pacers,Indiana Pacers
Orlando Magic,Orlando Magic
Denver Nuggets,Denver Nuggets
Golden State Warriors,Golden State Warriors
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,Los Angeles Clippers
Charlotte Bobcats,Charlotte Bobcats
Atlanta Hawks,Atlanta Hawks
New Orleans Hornets,New Orleans Hornets
Seattle SuperSonics,Seattle SuperSonics
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Detroit Pistons,Detroit Pistons
Houston Rockets,Houston Rockets
Dallas Mavericks,Dallas Mavericks
Cleveland Cavaliers,Cleveland Cavaliers
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
San Antonio Spurs,San Antonio Spurs
Boston Celtics,Boston Celtics
Sacramento Kings,Sacramento Kings
Philadelphia 76ers,Philadelphia 76ers
Toronto Raptors,Toronto Raptors
Washington Wizards,Washington Wizards
Utah Jazz,Utah Jazz
New Jersey Nets,New Jersey Nets
Indiana Pacers,Indiana Pacers
Orlando Magic,Orlando Magic
Denver Nuggets,Denver Nuggets
Golden State Warriors,Golden State Warriors
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,Los Angeles Clippers
Charlotte Bobcats,Charlotte Bobcats
Atlanta Hawks,Atlanta Hawks
New Orleans Hornets,New Orleans Hornets
Seattle SuperSonics,Seattle SuperSonics
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Houston Rockets,Houston Rockets
Phoenix Suns,Phoenix Suns
Detroit Pistons,Detroit Pistons
Dallas Mavericks,Dallas Mavericks
Boston Celtics,Boston Celtics
San Antonio Spurs,San Antonio Spurs
Toronto Raptors,Toronto Raptors
Utah Jazz,Utah Jazz
Oklahoma City Thunder,Oklahoma City Thunder
Denver Nuggets,Denver Nuggets
Orlando Magic,Orlando Magic
Atlanta Hawks,Atlanta Hawks
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
Philadelphia 76ers,Philadelphia 76ers
Charlotte Bobcats,Charlotte Bobcats
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
Golden State Warriors,Golden State Warriors
Sacramento Kings,Sacramento Kings
New Jersey Nets,New Jersey Nets
Los Angeles Clippers,Los Angeles Clippers
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Houston Rockets,Houston Rockets
Phoenix Suns,Phoenix Suns
Detroit Pistons,Detroit Pistons
Dallas Mavericks,Dallas Mavericks
Boston Celtics,Boston Celtics
San Antonio Spurs,San Antonio Spurs
Toronto Raptors,Toronto Raptors
Utah Jazz,Utah Jazz
Oklahoma City Thunder,Oklahoma City Thunder
Denver Nuggets,Denver Nuggets
Orlando Magic,Orlando Magic
Atlanta Hawks,Atlanta Hawks
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
Philadelphia 76ers,Philadelphia 76ers
Charlotte Bobcats,Charlotte Bobcats
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
Golden State Warriors,Golden State Warriors
Sacramento Kings,Sacramento Kings
New Jersey Nets,New Jersey Nets
Los Angeles Clippers,Los Angeles Clippers
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,Phoenix Suns
Detroit Pistons,Detroit Pistons
Dallas Mavericks,Dallas Mavericks
Houston Rockets,Houston Rockets
Boston Celtics,Boston Celtics
San Antonio Spurs,San Antonio Spurs
Toronto Raptors,Toronto Raptors
Orlando Magic,Orlando Magic
Washington Wizards,Washington Wizards
Utah Jazz,Utah Jazz
Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,Indiana Pacers
Oklahoma City Thunder,Oklahoma City Thunder
Denver Nuggets,Denver Nuggets
Charlotte Bobcats,Charlotte Bobcats
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
Golden State Warriors,Golden State Warriors
Atlanta Hawks,Atlanta Hawks
Sacramento Kings,Sacramento Kings
New Jersey Nets,New Jersey Nets
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,Los Angeles Clippers
New York Knicks,New York Knicks
Los Angeles Lakers,Los Angeles Lakers
Chicago Bulls,Chicago Bulls
Boston Celtics,Boston Celtics
Houston Rockets,Houston Rockets
Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Phoenix Suns
Detroit Pistons,Detroit Pistons
Portland Trail Blazers,Portland Trail Blazers
Toronto Raptors,Toronto Raptors
Orlando Magic,Orlando Magic
Golden State Warriors,Golden State Warriors
Cleveland Cavaliers,Cleveland Cavaliers
Utah Jazz,Utah Jazz
Philadelphia 76ers,Philadelphia 76ers
Oklahoma City Thunder,Oklahoma City Thunder
Washington Wizards,Washington Wizards
Denver Nuggets,Denver Nuggets
New Jersey Nets,New Jersey Nets
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Sacramento Kings,Sacramento Kings
Charlotte Bobcats,Charlotte Bobcats
New Orleans Hornets,New Orleans Hornets
Indiana Pacers,Indiana Pacers
Memphis Grizzlies,Memphis Grizzlies
Minnesota Timberwolves,Minnesota Timberwolves
Milwaukee Bucks,Milwaukee Bucks
Atlanta Hawks,Atlanta Hawks
Boston Celtics,Boston Celtics
Brooklyn Nets,Brooklyn Nets
Charlotte Hornets,Charlotte Hornets
Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,Cleveland Cavaliers
Dallas Mavericks,Dallas Mavericks
Denver Nuggets,Denver Nuggets
Detroit Pistons,Detroit Pistons
Golden State Warriors,Golden State Warriors
Houston Rockets,Houston Rockets
Indiana Pacers,Indiana Pacers
Los Angeles Clippers,Los Angeles Clippers
Los Angeles Lakers,Los Angeles Lakers
Memphis Grizzlies,Memphis Grizzlies
Miami Heat,Miami Heat
Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,Minnesota Timberwolves
New Orleans Pelicans,New Orleans Pelicans
New York Knicks,New York Knicks
Oklahoma City Thunder,Oklahoma City Thunder
Orlando Magic,Orlando Magic
Philadelphia 76ers,Philadelphia 76ers
Phoenix Suns,Phoenix Suns
Portland Trail Blazers,Portland Trail Blazers
Sacramento Kings,Sacramento Kings
San Antonio Spurs,San Antonio Spurs
Toronto Raptors,Toronto Raptors
Utah Jazz,Utah Jazz
Washington Wizards,Washington Wizards
Atlanta Hawks,Atlanta Hawks
Boston Celtics,Boston Celtics
Brooklyn Nets,Brooklyn Nets
Charlotte Hornets,Charlotte Hornets
Chicago Bulls,Chicago Bulls
Cleveland Cavaliers,Cleveland Cavaliers
Dallas Mavericks,Dallas Mavericks
Denver Nuggets,Denver Nuggets
Detroit Pistons,Detroit Pistons
Golden State Warriors,Golden State Warriors
Houston Rockets,Houston Rockets
Indiana Pacers,Indiana Pacers
Los Angeles Clippers,Los Angeles Clippers
Los Angeles Lakers,Los Angeles Lakers
Memphis Grizzlies,Memphis Grizzlies
Miami Heat,Miami Heat
Milwaukee Bucks,Milwaukee Bucks
Minnesota Timberwolves,Minnesota Timberwolves
New Orleans Pelicans,New Orleans Pelicans
New York Knicks,New York Knicks
Oklahoma City Thunder,Oklahoma City Thunder
Orlando Magic,Orlando Magic
